Code,Code Type,Description,All Years,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CPT-64721,CPT,Neuroplasty and/or transposition; median nerve at carpal tunnel,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-64722,CPT,Decompression; unspecified nerve(s) (specify),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-64726,CPT,Decompression; plantar digital nerve,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-64727,CPT,Internal neurolysis  requiring use of operating microscope (List separately in addition to code for neuroplasty) (Neuroplasty includes external neurolysis),13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-64774,CPT,Excision of neuroma; cutaneous nerve  surgically identifiable,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-64776,CPT,Excision of neuroma; digital nerve  one or both  same digit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-64778,CPT,Excision of neuroma; digital nerve  each additional digit (List separately in addition to code for primary procedure),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-64782,CPT,Excision of neuroma; hand or foot  except digital nerve,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-64784,CPT,Excision of neuroma; major peripheral nerve  except sciatic,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-64787,CPT,Implantation of nerve end into bone or muscle (List separately in addition to neuroma excision),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-64795,CPT,Biopsy of nerve,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-64831,CPT,Suture of digital nerve  hand or foot; one nerve,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-64857,CPT,Suture of major peripheral nerve  arm or leg  except sciatic; without transposition,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-64885,CPT,Nerve graft (includes obtaining graft)  head or neck; up to 4 cm in length,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-64886,CPT,Nerve graft (includes obtaining graft)  head or neck; more than 4 cm length,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-64893,CPT,Nerve graft (includes obtaining graft)  single strand  arm or leg; more than 4 cm length,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-64896,CPT,Nerve graft (includes obtaining graft)  multiple strands (cable)  hand or foot; more than 4 cm length,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-64901,CPT,Nerve graft  each additional nerve; single strand (List separately in addition to code for primary procedure),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-64905,CPT,Nerve pedicle transfer; first stage,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-64910,CPT,Nerve repair; with synthetic conduit or vein allograft (eg  nerve tube)  each nerve,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-64912,CPT,Unknown,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-64999,CPT,Unlisted procedure  nervous system,87,13,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,12 
CPT-66821,CPT,Discission of secondary membranous cataract (opacified posterior lens capsule and/or anterior hyaloid); laser surgery (eg  YAG laser) (one or more stages),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-67400,CPT,Orbitotomy without bone flap (frontal or transconjunctival approach); for exploration  with or without biopsy,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-67875,CPT,Temporary closure of eyelids by suture (eg  Frost suture),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-68320,CPT,Conjunctivoplasty; with conjunctival graft or extensive rearrangement,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-68399,CPT,Unlisted procedure  conjunctiva,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-69210,CPT,Removal impacted cerumen (separate procedure)  one or both ears,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-69990,CPT,Microsurgical techniques  requiring use of operating microscope (List separately in addition to code for primary procedure),183,-1,-1,-1,-1,93,73,-1,-1,-1,-1,-1,-1 
CPT-70100,CPT,Radiologic examination  mandible; partial  less than four views,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-70130,CPT,Radiologic examination  mastoids; complete  minimum of three views per side,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-70140,CPT,Radiologic examination  facial bones; less than three views,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-70200,CPT,Radiologic examination; orbits  complete  minimum of four views,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-70210,CPT,Radiologic examination  sinuses  paranasal  less than three views,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-70240,CPT,Radiologic examination  sella turcica,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-70250,CPT,Radiologic examination  skull; less than four views,525,46,56,60,69,45,43,35,74,24,22,33,18 
CPT-70260,CPT,Radiologic examination  skull; complete  minimum of four views,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-70360,CPT,Radiologic examination; neck  soft tissue,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-70450,CPT,Computed tomography  head or brain; without contrast material,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-70486,CPT,Computed tomography  maxillofacial area; without contrast material,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-70551,CPT,Magnetic resonance (eg  proton) imaging  brain (including brain stem); without contrast material,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-70553,CPT,Magnetic resonance (eg  proton) imaging  brain (including brain stem); without contrast material  followed by contrast material(s) and further sequences,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-71010,CPT,Radiologic examination  chest; single view  frontal,132,15,23,23,-1,13,17,18,13,-1,-1,-1,-1 
CPT-71020,CPT,Radiologic examination  chest  two views  frontal and lateral;,54,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-71023,CPT,Radiologic examination  chest  two views  frontal and lateral; with fluoroscopy,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-71045,CPT,Radiologic examination  chest; single view,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1 
CPT-71046,CPT,Radiologic examination  chest; 2 views,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-71100,CPT,Radiologic examination  ribs  unilateral; two views,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-71250,CPT,Computed tomography  thorax; without contrast material,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-72020,CPT,Radiologic examination  spine  single view  specify level,823,150,171,103,83,91,73,45,46,22,15,-1,14 
CPT-72040,CPT,Radiologic examination  spine  cervical; two or three views,146,27,16,16,14,19,14,-1,-1,-1,-1,-1,-1 
CPT-72050,CPT,Radiologic examination  spine  cervical; minimum of four views,60,-1,-1,-1,-1,37,-1,-1,-1,-1,-1,-1,-1 
CPT-72052,CPT,Radiologic examination  spine  cervical; complete  including oblique and flexion and/or extension studies,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-72069,CPT,Radiologic examination  spine  thoracolumbar  standing (scoliosis),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-72070,CPT,Radiologic examination  spine; thoracic  two views,193,35,22,27,30,22,15,11,-1,-1,-1,-1,-1 
CPT-72072,CPT,Radiologic examination  spine; thoracic  three views,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-72074,CPT,Radiologic examination  spine; thoracic  minimum of four views,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-72080,CPT,Radiologic examination  spine; thoracolumbar  two views,89,22,12,16,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-72081,CPT,RADEX ENTIR THRC LMBR CRV SAC SPI W/SKULL 1 VW,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-72082,CPT,RADEX ENTIR THRC LMBR CRV SAC SPI W/SKULL 2/3 VW,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-72100,CPT,Radiologic examination  spine  lumbosacral; two or three views,336,76,41,60,33,21,26,17,-1,15,-1,-1,21 
CPT-72110,CPT,Radiologic examination  spine  lumbosacral; minimum of four views,131,16,-1,-1,-1,69,22,-1,-1,-1,-1,-1,-1 
CPT-72114,CPT,Radiologic examination  spine  lumbosacral; complete  including bending views,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-72125,CPT,Computed tomography  cervical spine; without contrast material,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-72126,CPT,Computed tomography  cervical spine; with contrast material,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-72129,CPT,Computed tomography  thoracic spine; with contrast material,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-72131,CPT,Computed tomography  lumbar spine; without contrast material,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-72132,CPT,Computed tomography  lumbar spine; with contrast material,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-72141,CPT,Magnetic resonance (eg  proton) imaging  spinal canal and contents  cervical; without contrast material,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-72146,CPT,Magnetic resonance (eg  proton) imaging  spinal canal and contents  thoracic; without contrast material,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-72148,CPT,Magnetic resonance (eg  proton) imaging  spinal canal and contents  lumbar; without contrast material,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-72157,CPT,Magnetic resonance (eg  proton) imaging  spinal canal and contents  without contrast material  followed by contrast material(s) and further sequences; thoracic,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-72158,CPT,Magnetic resonance (eg  proton) imaging  spinal canal and contents  without contrast material  followed by contrast material(s) and further sequences; lumbar,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-72170,CPT,Radiologic examination  pelvis; one or two views,72,-1,18,-1,-1,13,-1,-1,-1,-1,-1,-1,-1 
CPT-72190,CPT,Radiologic examination  pelvis; complete  minimum of three views,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-72192,CPT,Computed tomography  pelvis; without contrast material,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-72194,CPT,Computed tomography  pelvis; without contrast material  followed by contrast material(s) and further sections,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-72200,CPT,Radiologic examination  sacroiliac joints; less than three views,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-72202,CPT,Radiologic examination  sacroiliac joints; three or more views,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-72220,CPT,Radiologic examination  sacrum and coccyx  minimum of two views,105,-1,14,21,11,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-72240,CPT,Myelography  cervical  radiological supervision and interpretation,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-72265,CPT,Myelography  lumbosacral  radiological supervision and interpretation,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-72275,CPT,Epidurography  radiological supervision and interpretation,31,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1 
CPT-72291,CPT,Radiological supervision and interpretation  percutaneous vertebroplasty or vertebral augmentation including cavity creation  per vertebral body; under fluoroscopic guidance,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-73000,CPT,Radiologic examination; clavicle  complete,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-73010,CPT,Radiologic examination; scapula  complete,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-73020,CPT,Radiologic examination  shoulder; one view,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-73030,CPT,Radiologic examination  shoulder; complete  minimum of two views,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-73040,CPT,Radiologic examination  shoulder  arthrography  radiological supervision and interpretation,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-73060,CPT,Radiologic examination; humerus  minimum of two views,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-73070,CPT,Radiologic examination  elbow; two views,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-73090,CPT,Radiologic examination; forearm  two views,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-73100,CPT,Radiologic examination  wrist; two views,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-73110,CPT,Radiologic examination  wrist; complete  minimum of three views,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-73120,CPT,Radiologic examination  hand; two views,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-73130,CPT,Radiologic examination  hand; minimum of three views,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-73140,CPT,Radiologic examination  finger(s)  minimum of two views,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-73221,CPT,Magnetic resonance (eg  proton) imaging  any joint of upper extremity; without contrast material(s),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-73500,CPT,Radiologic examination  hip  unilateral; one view,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-73501,CPT,RADEX HIP UNILATERAL WITH PELVIS 1 VIEW,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-73502,CPT,RADEX HIP UNILATERAL WITH PELVIS 2-3 VIEWS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-73510,CPT,Radiologic examination  hip  unilateral; complete  minimum of two views,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-73525,CPT,Radiologic examination  hip  arthrography  radiological supervision and interpretation,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-73530,CPT,Radiologic examination  hip  during operative procedure,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-73550,CPT,Radiologic examination  femur  two views,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-73551,CPT,RADIOLOGIC EXAMINATION FEMUR 1 VIEW,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-73552,CPT,RADIOLOGIC EXAMINATION FEMUR MINIMUM 2 VIEWS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-73560,CPT,Radiologic examination  knee; one or two views,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-73562,CPT,Radiologic examination  knee; three views,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-73564,CPT,Radiologic examination  knee; complete  four or more views,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-73580,CPT,Radiologic examination  knee  arthrography  radiological supervision and interpretation,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-73590,CPT,Radiologic examination; tibia and fibula  two views,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-73600,CPT,Radiologic examination  ankle; two views,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-73610,CPT,Radiologic examination  ankle; complete  minimum of three views,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-73620,CPT,Radiologic examination  foot; two views,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-73630,CPT,Radiologic examination  foot; complete  minimum of three views,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-73700,CPT,Computed tomography  lower extremity; without contrast material,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-73718,CPT,Magnetic resonance (eg  proton) imaging  lower extremity other than joint; without contrast material(s),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-73721,CPT,Magnetic resonance (eg  proton) imaging  any joint of lower extremity; without contrast material,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-74000,CPT,Radiologic examination  abdomen; single anteroposterior view,29,11,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-74010,CPT,Radiologic examination  abdomen; anteroposterior and additional oblique and cone views,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-74018,CPT,Radiologic examination  abdomen; 1 view,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-74019,CPT,Radiologic examination  abdomen; 2 views,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-74020,CPT,Radiologic examination  abdomen; complete  including decubitus and/or erect views,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-74150,CPT,Computed tomography  abdomen; without contrast material,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-74170,CPT,Computed tomography  abdomen; without contrast material  followed by contrast material(s) and further sections,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-74176,CPT,CT ABDOMEN & PELVIS W/O CONTRAST MATERIAL,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-74230,CPT,Swallowing function  with cineradiography/videoradiography,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-74430,CPT,Cystography  minimum of three views  radiological supervision and interpretation,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-75710,CPT,Angiography  extremity  unilateral  radiological supervision and interpretation,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-76000,CPT,Fluoroscopy (separate procedure)  up to 1 hour physician time  other than 71023 or 71034 (eg  cardiac fluoroscopy),1151,234,127,137,131,95,68,49,63,54,69,60,64 
CPT-76001,CPT,Fluoroscopy  physician time more than 1 hour  assisting a nonradiologic physician (eg  nephrostolithotomy  ERCP  bronchoscopy  transbronchial biopsy),236,64,47,41,28,26,11,-1,-1,-1,-1,-1,-1 
CPT-76098,CPT,Radiological examination  surgical specimen,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-76120,CPT,Cineradiography/videoradiography  except where specifically included,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-76376,CPT,3D rendering with interpretation and reporting of computed tomography  magnetic resonance imaging  ultrasound  or other tomographic modality; not requiring image postprocessing on an independent workstation,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-76377,CPT,3D rendering with interpretation and reporting of computed tomography  magnetic resonance imaging  ultrasound  or other tomographic modality; requiring image postprocessing on an independent workstation,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-76380,CPT,Computed tomography  limited or localized follow-up study,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-76496,CPT,Unlisted fluoroscopic procedure (eg  diagnostic  interventional),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-76642,CPT,US BREAST UNI REAL TIME WITH IMAGE LIMITED,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-76705,CPT,Ultrasound  abdominal  real time with image documentation; limited (eg  single organ  quadrant  follow-up),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-76770,CPT,Ultrasound  retroperitoneal (eg  renal  aorta  nodes)  real time with image documentation; complete,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-76775,CPT,Ultrasound  retroperitoneal (eg  renal  aorta  nodes)  real time with image documentation; limited,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-76830,CPT,Ultrasound  transvaginal,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-76856,CPT,Ultrasound  pelvic (nonobstetric)  real time with image documentation; complete,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-76857,CPT,Ultrasound  pelvic (nonobstetric)  real time with image documentation; limited or follow-up (eg  for follicles),35,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-76870,CPT,Ultrasound  scrotum and contents,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-76872,CPT,Ultrasound  transrectal;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-76881,CPT,US EXTREMITY NON-VASC REAL-TIME IMG COMPL,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-76882,CPT,US EXTREMITY NON-VASC REAL-TIME IMG LMTD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-76937,CPT,Ultrasound guidance for vascular access requiring ultrasound evaluation of potential access sites  documentation of selected vessel patency  concurrent realtime ultrasound visualization of vascular needle entry  with permanent recording and reporting (List separately in addition to code for primary procedure),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-76942,CPT,Ultrasonic guidance for needle placement (eg  biopsy  aspiration  injection  localization device)  imaging supervision and interpretation,1244,-1,-1,15,87,117,54,13,45,99,241,297,262 
CPT-76970,CPT,Ultrasound study follow-up (specify),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-76998,CPT,Ultrasonic guidance  intraoperative,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-76999,CPT,Unlisted ultrasound procedure (eg  diagnostic  interventional),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-77001,CPT,Fluoroscopic guidance for central venous access device placement  replacement (catheter only or complete)  or removal (includes fluoroscopic guidance for vascular access and catheter manipulation  any necessary contrast injections through access site or catheter with related venography radiologic supervision and interpretation  and radiographic documentation of final catheter position) (List separately in addition to code for primary procedure,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-77002,CPT,Fluoroscopic guidance for needle placement (eg  biopsy  aspiration  injection  localization device),948,297,163,97,86,76,30,26,12,16,63,48,34 
CPT-77003,CPT,Fluoroscopic guidance and localization of needle or catheter tip for spine or paraspinous diagnostic or therapeutic injection procedures (epidural  transforaminal epidural  subarachnoid  paravertebral facet joint  paravertebral facet joint nerve  or sacroiliac joint)  including neurolytic agent destruction,3256,597,525,236,683,719,195,116,53,11,32,34,55 
CPT-77011,CPT,Computed tomography guidance for stereotactic localization,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-77014,CPT,Computed tomography guidance for placement of radiation therapy fields,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-77032,CPT,Mammographic guidance for needle placement  breast (eg  for wire localization or for injection)  each lesion  radiological supervision and interpretation,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-77051,CPT,Computer-aided detection (computer algorithm analysis of digital image data for lesion detection) with further physician review for interpretation  with or without digitization of film radiographic images; diagnostic mammography (List separately in addition to code for primary procedure),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-77052,CPT,Computer-aided detection (computer algorithm analysis of digital image data for lesion detection) with further physician review for interpretation  with or without digitization of film radiographic images; screening mammography (List separately in addition to code for primary procedure),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-77057,CPT,Screening mammography  bilateral (2-view film study of each breast),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-77063,CPT,SCREENING DIGITAL BREAST TOMOSYNTHESIS BI,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-77067,CPT,SCREENING MAMMOGRAPHY BI 2-VIEW BREAST INC CAD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-77077,CPT,Joint survey  single view  2 or more joints (specify),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-77080,CPT,Dual-energy X-ray absorptiometry (DXA)  bone density study  1 or more sites; axial skeleton (eg  hips  pelvis  spine),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-77081,CPT,Dual-energy X-ray absorptiometry (DXA)  bone density study  1 or more sites; appendicular skeleton (peripheral) (eg  radius  wrist  heel),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-77082,CPT,Dual-energy X-ray absorptiometry (DXA)  bone density study  1 or more sites; vertebral fracture assessment,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-77336,CPT,Continuing medical physics consultation  including assessment of treatment parameters  quality assurance of dose delivery  and review of patient treatment documentation in support of the radiation oncologist  reported per week of therapy,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-77385,CPT,INTENSITY MODULATED RADIATION TX DLVR SIMPLE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-77386,CPT,INTENSITY MODULATED RADIATION TX DLVR COMPLEX,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-77414,CPT,Radiation treatment delivery  three or more separate treatment areas  custom blocking  tangential ports  wedges  rotational beam  compensators  electron beam; 11-19 MeV,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-77417,CPT,Therapeutic radiology port film(s),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-77427,CPT,Radiation treatment management  five treatments,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-78195,CPT,Lymphatics and lymph nodes imaging,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
