Code,Code Type,Description,Number of Patients
ICD-9-D-5194,ICD-9-D,Disorders of diaphragm,27
ICD-9-D-V4582,ICD-9-D,Percutaneous transluminal coronary angioplasty status,27
ICD-10-D-F1020,ICD-10-D,Alcohol dependence  uncomplicated,28
ICD-10-D-G35,ICD-10-D,Multiple sclerosis,28
ICD-10-D-G540,ICD-10-D,Brachial plexus disorders,28
ICD-10-D-G5622,ICD-10-D,Lesion of ulnar nerve  left upper limb,28
ICD-10-D-G5702,ICD-10-D,Lesion of sciatic nerve  left lower limb,28
ICD-10-D-G90523,ICD-10-D,Complex regional pain syndrome I of lower limb  bilateral,28
ICD-10-D-M25612,ICD-10-D,Stiffness of left shoulder  not elsewhere classified,28
ICD-10-D-M47892,ICD-10-D,Other spondylosis  cervical region,28
ICD-10-D-M7541,ICD-10-D,Impingement syndrome of right shoulder,28
ICD-9-D-3564,ICD-9-D,Idiopathic progressive polyneuropathy,28
ICD-9-D-42789,ICD-9-D,Other specified cardiac dysrhythmias,28
ICD-9-D-6089,ICD-9-D,Unspecified disorder of male genital organs,28
ICD-9-D-72293,ICD-9-D,Other and unspecified disc disorder  lumbar region,28
ICD-9-D-V5409,ICD-9-D,Other aftercare involving internal fixation device,28
ICD-10-D-G5712,ICD-10-D,Meralgia paresthetica  left lower limb,29
ICD-10-D-G8921,ICD-10-D,Chronic pain due to trauma,29
ICD-10-D-I69351,ICD-10-D,Hemiplegia and hemiparesis following cerebral infarction affecting right dominant side,29
ICD-10-D-M5020,ICD-10-D,Other cervical disc displacement  unspecified cervical region,29
ICD-10-D-N400,ICD-10-D,Benign prostatic hyperplasia without lower urinary tract symptoms,29
ICD-10-D-Z950,ICD-10-D,Presence of cardiac pacemaker,29
ICD-10-D-Z9911,ICD-10-D,Dependence on respirator [ventilator] status,29
ICD-9-D-05313,ICD-9-D,Postherpetic polyneuropathy,29
ICD-9-D-185,ICD-9-D,Malignant neoplasm of prostate,29
ICD-9-D-49320,ICD-9-D,Chronic obstructive asthma  unspecified,29
ICD-9-D-71944,ICD-9-D,Pain in joint  hand,29
ICD-10-D-G5681,ICD-10-D,Other specified mononeuropathies of right upper limb,30
ICD-10-D-G5752,ICD-10-D,Tarsal tunnel syndrome  left lower limb,30
ICD-10-D-Z462,ICD-10-D,Encounter for fitting and adjustment of other devices related to nervous system and special senses,30
ICD-10-D-Z7951,ICD-10-D,Long term (current) use of inhaled steroids,30
ICD-10-D-Z86711,ICD-10-D,Personal history of pulmonary embolism,30
ICD-10-D-Z9049,ICD-10-D,Acquired absence of other specified parts of digestive tract,30
ICD-9-D-52462,ICD-9-D,Temporomandibular joint disorders  arthralgia of temporomandibular joint,30
ICD-9-D-V4581,ICD-9-D,Aortocoronary bypass status,30
ICD-10-D-K589,ICD-10-D,Irritable bowel syndrome without diarrhea,31
ICD-10-D-M9908,ICD-10-D,Segmental and somatic dysfunction of rib cage,31
ICD-9-D-34610,ICD-9-D,Migraine without aura  without mention of intractable migraine without mention of status migrainosus,31
ICD-9-D-3530,ICD-9-D,Brachial plexus lesions,31
ICD-9-D-78909,ICD-9-D,Abdominal pain  other specified site,31
ICD-9-D-9532,ICD-9-D,Injury to lumbar nerve root,31
ICD-9-P-8695,ICD-9-P,Insertion or replacement of multiple array neurostimulator pulse generator  not specified as rechargeable,31
ICD-10-D-M47814,ICD-10-D,Spondylosis without myelopathy or radiculopathy  thoracic region,32
ICD-10-D-M5410,ICD-10-D,Radiculopathy  site unspecified,32
ICD-10-D-M5432,ICD-10-D,Sciatica  left side,32
ICD-10-D-M7918,ICD-10-D,Myalgia  other site,32
ICD-9-D-3549,ICD-9-D,Mononeuritis of upper limb  unspecified,32
ICD-9-D-7140,ICD-9-D,Rheumatoid arthritis,32
ICD-9-D-7262,ICD-9-D,Other affections of shoulder region  not elsewhere classified,32
ICD-9-D-7393,ICD-9-D,Nonallopathic lesions  lumbar region,32
ICD-9-D-78650,ICD-9-D,Chest pain  unspecified,32
ICD-10-D-G580,ICD-10-D,Intercostal neuropathy,33
ICD-10-D-M5431,ICD-10-D,Sciatica  right side,33
ICD-10-D-Z96651,ICD-10-D,Presence of right artificial knee joint,33
ICD-9-D-3552,ICD-9-D,Other lesion of femoral nerve,33
ICD-9-D-71698,ICD-9-D,Arthropathy  unspecified  other specified sites,33
ICD-9-D-V5867,ICD-9-D,Long-term (current) use of insulin,33
ICD-9-D-V7283,ICD-9-D,Other specified pre-operative examination,33
ICD-10-D-M5430,ICD-10-D,Sciatica  unspecified side,34
ICD-10-D-Z881,ICD-10-D,Allergy status to other antibiotic agents,34
ICD-9-D-2704,ICD-9-D,Disturbances of sulphur-bearing amino-acid metabolism,34
ICD-9-D-34600,ICD-9-D,Migraine with aura  without mention of intractable migraine without mention of status migrainosus,34
ICD-9-D-72400,ICD-9-D,Spinal stenosis  unspecified region,34
ICD-9-D-72610,ICD-9-D,Disorders of bursae and tendons in shoulder region  unspecified,34
ICD-9-D-78071,ICD-9-D,Chronic fatigue syndrome,34
ICD-9-D-E8781,ICD-9-D,Surgical operation with implant of artificial internal device causing abnormal patient reaction  or later complication without mention of misadventure at time of operation,34
ICD-9-D-V142,ICD-9-D,Personal history of allergy to sulfonamides,34
ICD-9-D-V725,ICD-9-D,Radiological examination  not elsewhere classified,34
ICD-10-D-G43709,ICD-10-D,Chronic migraine without aura  not intractable  without status migrainosus,35
ICD-10-D-G43919,ICD-10-D,Migraine  unspecified  intractable  without status migrainosus,35
ICD-10-D-G5641,ICD-10-D,Causalgia of right upper limb,35
ICD-10-D-R339,ICD-10-D,Retention of urine  unspecified,35
ICD-9-D-05312,ICD-9-D,Postherpetic trigeminal neuralgia,35
ICD-9-D-29384,ICD-9-D,Anxiety disorder in conditions classified elsewhere,35
ICD-10-D-G4735,ICD-10-D,Congenital central alveolar hypoventilation syndrome,36
ICD-10-D-J986,ICD-10-D,Disorders of diaphragm,36
ICD-10-D-R202,ICD-10-D,Paresthesia of skin,36
ICD-10-D-Z96652,ICD-10-D,Presence of left artificial knee joint,36
ICD-9-D-340,ICD-9-D,Multiple sclerosis,36
ICD-9-D-7211,ICD-9-D,Cervical spondylosis with myelopathy,36
ICD-10-D-G5790,ICD-10-D,Unspecified mononeuropathy of unspecified lower limb,37
ICD-10-D-M5442,ICD-10-D,Lumbago with sciatica  left side,37
ICD-10-D-R531,ICD-10-D,Weakness,37
ICD-10-D-Z791,ICD-10-D,Long term (current) use of non-steroidal anti-inflammatories (NSAID),37
ICD-10-D-Z882,ICD-10-D,Allergy status to sulfonamides,37
ICD-9-D-71516,ICD-9-D,Osteoarthrosis  localized  primary  lower leg,37
ICD-9-D-75612,ICD-9-D,Spondylolisthesis,37
ICD-9-D-V4365,ICD-9-D,Knee joint replacement,37
ICD-10-D-G90519,ICD-10-D,Complex regional pain syndrome I of unspecified upper limb,38
ICD-10-D-M810,ICD-10-D,Age-related osteoporosis without current pathological fracture,38
ICD-10-D-N319,ICD-10-D,Neuromuscular dysfunction of bladder  unspecified,38
ICD-9-D-32725,ICD-9-D,Congenital central alveolar hypoventilation syndrome,38
ICD-9-D-99675,ICD-9-D,Other complications due to nervous system device  implant  and graft,38
ICD-10-D-G20,ICD-10-D,Parkinson's disease,39
ICD-10-D-G43719,ICD-10-D,Chronic migraine without aura  intractable  without status migrainosus,39
ICD-10-D-G5682,ICD-10-D,Other specified mononeuropathies of left upper limb,39
ICD-10-D-M069,ICD-10-D,Rheumatoid arthritis  unspecified,39
ICD-10-D-M62838,ICD-10-D,Other muscle spasm,39
ICD-10-D-Z6841,ICD-10-D,Body mass index [BMI]40.0-44.9  adult,39
ICD-9-D-72401,ICD-9-D,Spinal stenosis  thoracic region,39
ICD-9-D-V1251,ICD-9-D,Personal history of venous thrombosis and embolism,39
ICD-9-D-V7284,ICD-9-D,Pre-operative examination  unspecified,39
ICD-10-D-G4700,ICD-10-D,Insomnia  unspecified,40
ICD-10-D-M47896,ICD-10-D,Other spondylosis  lumbar region,40
ICD-9-D-3542,ICD-9-D,Lesion of ulnar nerve,40
ICD-9-D-3568,ICD-9-D,Other specified idiopathic peripheral neuropathy,40
ICD-9-D-V145,ICD-9-D,Personal history of allergy to narcotic agent,40
ICD-9-D-V5861,ICD-9-D,Long-term (current) use of anticoagulants,40
ICD-10-D-F411,ICD-10-D,Generalized anxiety disorder,41
ICD-10-D-G5621,ICD-10-D,Lesion of ulnar nerve  right upper limb,41
ICD-10-D-G9009,ICD-10-D,Other idiopathic peripheral autonomic neuropathy,41
ICD-10-D-I110,ICD-10-D,Hypertensive heart disease with heart failure,41
ICD-10-D-M531,ICD-10-D,Cervicobrachial syndrome,41
ICD-10-D-R32,ICD-10-D,Unspecified urinary incontinence,41
ICD-9-D-7177,ICD-9-D,Chondromalacia of patella,41
ICD-9-D-8470,ICD-9-D,Sprain of neck,41
ICD-10-D-F40231,ICD-10-D,Fear of injections and transfusions,42
ICD-10-D-G5751,ICD-10-D,Tarsal tunnel syndrome  right lower limb,42
ICD-10-D-G90529,ICD-10-D,Complex regional pain syndrome I of unspecified lower limb,42
ICD-10-D-M25571,ICD-10-D,Pain in right ankle and joints of right foot,42
ICD-10-D-M5137,ICD-10-D,Other intervertebral disc degeneration  lumbosacral region,42
ICD-9-D-7233,ICD-9-D,Cervicobrachial syndrome (diffuse),42
ICD-9-D-7812,ICD-9-D,Abnormality of gait,42
ICD-9-D-30400,ICD-9-D,Opioid type dependence  unspecified,43
ICD-9-D-3544,ICD-9-D,Causalgia of upper limb,43
ICD-9-D-3551,ICD-9-D,Meralgia paresthetica,43
ICD-9-D-60001,ICD-9-D,Hypertrophy (benign) of prostate with urinary obstruction and other lower urinary tract symptoms (LUTS),43
ICD-9-D-78079,ICD-9-D,Other malaise and fatigue,43
ICD-10-D-R5383,ICD-10-D,Other fatigue,44
ICD-10-D-Z86718,ICD-10-D,Personal history of other venous thrombosis and embolism,44
ICD-9-D-52460,ICD-9-D,Temporomandibular joint disorders  unspecified,44
ICD-9-D-5641,ICD-9-D,Irritable bowel syndrome,44
ICD-9-P-8939,ICD-9-P,Other nonoperative measurements and examinations,44
ICD-10-D-G5711,ICD-10-D,Meralgia paresthetica  right lower limb,45
ICD-10-D-M4726,ICD-10-D,Other spondylosis with radiculopathy  lumbar region,45
ICD-10-D-M4802,ICD-10-D,Spinal stenosis  cervical region,46
ICD-9-D-34611,ICD-9-D,Migraine without aura  with intractable migraine  so stated  without mention of status migrainosus,46
ICD-10-D-B0229,ICD-10-D,Other postherpetic nervous system involvement,47
ICD-10-D-G542,ICD-10-D,Cervical root disorders  not elsewhere classified,47
ICD-10-D-I872,ICD-10-D,Venous insufficiency (chronic) (peripheral),47
ICD-9-D-3084,ICD-9-D,Mixed disorders as reaction to stress,47
ICD-9-D-4280,ICD-9-D,Congestive heart failure  unspecified,47
ICD-9-D-72479,ICD-9-D,Other disorders of coccyx,47
ICD-10-D-F1120,ICD-10-D,Opioid dependence  uncomplicated,48
ICD-10-D-M5030,ICD-10-D,Other cervical disc degeneration  unspecified cervical region,48
ICD-10-D-R159,ICD-10-D,Full incontinence of feces,48
ICD-9-D-3518,ICD-9-D,Other facial nerve disorders,48
ICD-9-D-59659,ICD-9-D,Other functional disorder of bladder,48
ICD-10-D-G44209,ICD-10-D,Tension-type headache  unspecified  not intractable,49
ICD-10-D-I509,ICD-10-D,Heart failure  unspecified,49
ICD-10-D-M4607,ICD-10-D,Spinal enthesopathy  lumbosacral region,49
ICD-10-D-M48062,ICD-10-D,Spinal stenosis  lumbar region with neurogenic claudication,49
ICD-9-D-73300,ICD-9-D,Osteoporosis  unspecified,49
ICD-9-P-8696,ICD-9-P,Insertion or replacement of other neurostimulator pulse generator,49
ICD-10-D-E1142,ICD-10-D,Type 2 diabetes mellitus with diabetic polyneuropathy,50
ICD-10-D-M5126,ICD-10-D,Other intervertebral disc displacement  lumbar region,50
ICD-10-D-Z20828,ICD-10-D,Contact with and (suspected) exposure to other viral communicable diseases,50
ICD-9-D-8472,ICD-9-D,Sprain of lumbar,51
ICD-10-D-E1140,ICD-10-D,Type 2 diabetes mellitus with diabetic neuropathy  unspecified,52
ICD-10-D-I129,ICD-10-D,Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease  or unspecified chronic kidney disease,52
ICD-10-D-M5441,ICD-10-D,Lumbago with sciatica  right side,52
ICD-10-D-Z888,ICD-10-D,Allergy status to other drugs  medicaments and biological substances,53
ICD-10-D-Z885,ICD-10-D,Allergy status to narcotic agent,54
ICD-9-D-25060,ICD-9-D,Diabetes with neurological manifestations  type II or unspecified type  not stated as uncontrolled,54
ICD-9-D-34591,ICD-9-D,Epilepsy  unspecified  with intractable epilepsy,54
ICD-9-D-V7281,ICD-9-D,Pre-operative cardiovascular examination,54
ICD-9-D-33944,ICD-9-D,Other complicated headache syndrome,55
ICD-9-D-412,ICD-9-D,Old myocardial infarction,55
ICD-9-D-71947,ICD-9-D,Pain in joint  ankle and foot,55
ICD-10-D-M791,ICD-10-D,Myalgia,56
ICD-9-D-75611,ICD-9-D,Spondylolysis  lumbosacral region,56
ICD-9-D-V148,ICD-9-D,Personal history of allergy to other specified medicinal agents,56
ICD-10-D-M25552,ICD-10-D,Pain in left hip,57
ICD-9-D-3540,ICD-9-D,Carpal tunnel syndrome,57
ICD-9-D-V140,ICD-9-D,Personal history of allergy to penicillin,57
ICD-10-D-M4601,ICD-10-D,Spinal enthesopathy  occipito-atlanto-axial region,58
ICD-10-D-R52,ICD-10-D,Pain  unspecified,58
ICD-9-D-3004,ICD-9-D,Dysthymic disorder,58
ICD-9-D-3556,ICD-9-D,Lesion of plantar nerve,58
ICD-10-D-I252,ICD-10-D,Old myocardial infarction,59
ICD-10-D-M25551,ICD-10-D,Pain in right hip,59
ICD-10-D-D649,ICD-10-D,Anemia  unspecified,60
ICD-10-D-G541,ICD-10-D,Lumbosacral plexus disorders,60
ICD-10-D-G90511,ICD-10-D,Complex regional pain syndrome I of right upper limb,60
ICD-9-D-34541,ICD-9-D,Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures  with intractable epilepsy,60
ICD-9-D-7820,ICD-9-D,Disturbance of skin sensation,60
ICD-9-D-V1254,ICD-9-D,Personal history of transient ischemic attack (TIA)  and cerebral infarction without residual deficits,60
ICD-10-D-M79604,ICD-10-D,Pain in right leg,61
ICD-10-D-F17200,ICD-10-D,Nicotine dependence  unspecified  uncomplicated,62
ICD-9-D-3579,ICD-9-D,Unspecified inflammatory and toxic neuropathy,62
ICD-9-D-59654,ICD-9-D,Neurogenic bladder NOS,62
ICD-9-D-60000,ICD-9-D,Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS),63
ICD-10-D-Z8673,ICD-10-D,Personal history of transient ischemic attack (TIA)  and cerebral infarction without residual deficits,64
ICD-9-D-33902,ICD-9-D,Chronic cluster headache,64
ICD-9-D-3572,ICD-9-D,Polyneuropathy in diabetes,64
ICD-9-D-78096,ICD-9-D,Generalized pain,64
ICD-10-D-M4602,ICD-10-D,Spinal enthesopathy  cervical region,65
ICD-10-D-F418,ICD-10-D,Other specified anxiety disorders,66
ICD-10-D-G546,ICD-10-D,Phantom limb syndrome with pain,66
ICD-10-D-Z794,ICD-10-D,Long term (current) use of insulin,66
ICD-9-D-42731,ICD-9-D,Atrial fibrillation,66
ICD-10-D-M48061,ICD-10-D,Spinal stenosis  lumbar region without neurogenic claudication,67
ICD-10-D-M530,ICD-10-D,Cervicocranial syndrome,68
ICD-10-D-Z7901,ICD-10-D,Long term (current) use of anticoagulants,68
ICD-9-D-34671,ICD-9-D,Chronic migraine without aura  with intractable migraine  so stated  without mention of status migrainosus,68
ICD-9-D-71690,ICD-9-D,Arthropathy  unspecified  site unspecified,68
ICD-10-D-G548,ICD-10-D,Other nerve root and plexus disorders,69
ICD-10-D-Z4542,ICD-10-D,Encounter for adjustment and management of neurostimulator,69
ICD-10-D-Z880,ICD-10-D,Allergy status to penicillin,69
ICD-10-D-Z98890,ICD-10-D,Other specified postprocedural states,69
ICD-9-D-7249,ICD-9-D,Other unspecified back disorders,69
ICD-9-D-78760,ICD-9-D,Full incontinence of feces,69
ICD-10-D-G5772,ICD-10-D,Causalgia of left lower limb,72
ICD-10-D-M47812,ICD-10-D,Spondylosis without myelopathy or radiculopathy  cervical region,72
ICD-10-D-M5116,ICD-10-D,Intervertebral disc disorders with radiculopathy  lumbar region,72
ICD-9-D-34670,ICD-9-D,Chronic migraine without aura  without mention of intractable migraine without mention of status migrainosus,72
ICD-9-D-3532,ICD-9-D,Cervical root lesions  not elsewhere classified,72
ICD-10-D-M549,ICD-10-D,Dorsalgia  unspecified,73
ICD-10-D-R3915,ICD-10-D,Urgency of urination,73
ICD-9-D-V5883,ICD-9-D,Encounter for therapeutic drug monitoring,73
ICD-10-D-G90512,ICD-10-D,Complex regional pain syndrome I of left upper limb,74
ICD-9-D-40291,ICD-9-D,Unspecified hypertensive heart disease with heart failure,74
ICD-9-D-7226,ICD-9-D,Degeneration of intervertebral disc  site unspecified,74
ICD-10-D-M5414,ICD-10-D,Radiculopathy  thoracic region,76
ICD-9-D-71596,ICD-9-D,Osteoarthrosis  unspecified whether generalized or localized  lower leg,76
ICD-9-D-72190,ICD-9-D,Spondylosis of unspecified site  without mention of myelopathy,76
ICD-10-D-I4891,ICD-10-D,Unspecified atrial fibrillation,78
ICD-10-D-M79671,ICD-10-D,Pain in right foot,78
ICD-10-D-E6601,ICD-10-D,Morbid (severe) obesity due to excess calories,79
ICD-10-D-G5781,ICD-10-D,Other specified mononeuropathies of right lower limb,79
ICD-9-D-3320,ICD-9-D,Paralysis agitans,79
ICD-10-D-M4604,ICD-10-D,Spinal enthesopathy  thoracic region,80
ICD-10-D-M79605,ICD-10-D,Pain in left leg,80
ICD-10-D-R102,ICD-10-D,Pelvic and perineal pain,81
ICD-9-D-35579,ICD-9-D,Other mononeuritis of lower limb,81
ICD-9-P-0393,ICD-9-P,Implantation or replacement of spinal neurostimulator lead(s),82
ICD-10-D-G5771,ICD-10-D,Causalgia of right lower limb,83
ICD-9-D-27801,ICD-9-D,Morbid obesity,84
ICD-9-D-7212,ICD-9-D,Thoracic spondylosis without myelopathy,84
ICD-9-D-78039,ICD-9-D,Other convulsions,85
ICD-9-D-78052,ICD-9-D,Insomnia  unspecified,85
ICD-10-D-G8918,ICD-10-D,Other acute postprocedural pain,86
ICD-9-D-72271,ICD-9-D,Intervertebral disc disorder with myelopathy  cervical region,86
ICD-10-D-G5791,ICD-10-D,Unspecified mononeuropathy of right lower limb,87
ICD-10-D-G5792,ICD-10-D,Unspecified mononeuropathy of left lower limb,87
ICD-10-D-G609,ICD-10-D,Hereditary and idiopathic neuropathy  unspecified,87
ICD-10-D-M79672,ICD-10-D,Pain in left foot,87
ICD-10-D-Z7984,ICD-10-D,Long term (current) use of oral hypoglycemic drugs,87
ICD-9-D-3083,ICD-9-D,Other acute reactions to stress,87
ICD-10-D-M170,ICD-10-D,Bilateral primary osteoarthritis of knee,88
ICD-9-D-71590,ICD-9-D,Osteoarthrosis  unspecified whether generalized or localized  site unspecified,89
ICD-9-D-4011,ICD-9-D,Benign essential hypertension,91
ICD-9-D-7201,ICD-9-D,Spinal enthesopathy,91
ICD-10-D-E7800,ICD-10-D,Pure hypercholesterolemia  unspecified,92
ICD-10-D-G5782,ICD-10-D,Other specified mononeuropathies of left lower limb,92
ICD-9-D-41400,ICD-9-D,Coronary atherosclerosis of unspecified type of vessel  native or graft,93
ICD-10-D-M797,ICD-10-D,Fibromyalgia,94
ICD-9-D-72211,ICD-9-D,Displacement of thoracic intervertebral disc without myelopathy,94
ICD-10-D-M4806,ICD-10-D,Spinal stenosis  lumbar region,95
ICD-9-D-34590,ICD-9-D,Epilepsy  unspecified  without mention of intractable epilepsy,96
ICD-9-D-78057,ICD-9-D,Unspecified sleep apnea,96
ICD-9-D-78821,ICD-9-D,Incomplete bladder emptying,96
ICD-9-D-V5866,ICD-9-D,Long-term (current) use of aspirin,98
ICD-10-D-G90522,ICD-10-D,Complex regional pain syndrome I of left lower limb,99
ICD-9-D-7265,ICD-9-D,Enthesopathy of hip region,99
ICD-10-D-G8928,ICD-10-D,Other chronic postprocedural pain,100
ICD-9-D-V4589,ICD-9-D,Other postprocedural status,100
ICD-9-D-78820,ICD-9-D,Retention of urine  unspecified,101
ICD-9-D-78900,ICD-9-D,Abdominal pain  unspecified site,101
ICD-9-D-72282,ICD-9-D,Postlaminectomy syndrome  thoracic region,103
ICD-10-D-G544,ICD-10-D,Lumbosacral root disorders  not elsewhere classified,105
ICD-10-D-G4730,ICD-10-D,Sleep apnea  unspecified,106
ICD-9-D-05319,ICD-9-D,Herpes zoster with other nervous system complications,106
ICD-9-D-33721,ICD-9-D,Reflex sympathetic dystrophy of the upper limb,107
ICD-9-D-5990,ICD-9-D,Urinary tract infection  site not specified,109
ICD-9-D-34691,ICD-9-D,Migraine  unspecified  with intractable migraine  so stated  without mention of status migrainosus,113
ICD-9-D-72251,ICD-9-D,Degeneration of thoracic or thoracolumbar intervertebral disc,113
ICD-10-D-M546,ICD-10-D,Pain in thoracic spine,115
ICD-10-D-M19011,ICD-10-D,Primary osteoarthritis  right shoulder,116
ICD-10-D-M1712,ICD-10-D,Unilateral primary osteoarthritis  left knee,118
ICD-10-D-M533,ICD-10-D,Sacrococcygeal disorders  not elsewhere classified,119
ICD-9-D-6256,ICD-9-D,Stress incontinence  female,119
ICD-9-D-41401,ICD-9-D,Coronary atherosclerosis of native coronary artery,120
ICD-10-D-G90521,ICD-10-D,Complex regional pain syndrome I of right lower limb,121
ICD-10-D-M19012,ICD-10-D,Primary osteoarthritis  left shoulder,122
ICD-10-D-R350,ICD-10-D,Frequency of micturition,123
ICD-9-D-35571,ICD-9-D,Causalgia of lower limb,123
ICD-9-D-33821,ICD-9-D,Chronic pain due to trauma,126
ICD-10-D-M62830,ICD-10-D,Muscle spasm of back,128
ICD-10-D-G43909,ICD-10-D,Migraine  unspecified  not intractable  without status migrainosus,129
ICD-10-D-Z981,ICD-10-D,Arthrodesis status,129
ICD-9-D-7246,ICD-9-D,Disorders of sacrum,130
ICD-10-D-F17210,ICD-10-D,Nicotine dependence  cigarettes  uncomplicated,131
ICD-9-D-496,ICD-9-D,Chronic airway obstruction  not elsewhere classified,132
ICD-9-D-5951,ICD-9-D,Chronic interstitial cystitis,132
ICD-9-D-27800,ICD-9-D,Obesity  unspecified,134
ICD-9-D-3534,ICD-9-D,Lumbosacral root lesions  not elsewhere classified,134
ICD-10-D-M5417,ICD-10-D,Radiculopathy  lumbosacral region,135
ICD-9-D-3531,ICD-9-D,Lumbosacral plexus lesions,136
ICD-10-D-N3281,ICD-10-D,Overactive bladder,137
ICD-9-D-V1582,ICD-9-D,Personal history of tobacco use,138
ICD-9-D-2720,ICD-9-D,Pure hypercholesterolemia,140
ICD-10-D-G501,ICD-10-D,Atypical facial pain,144
ICD-9-D-V5302,ICD-9-D,Fitting and adjustment of neuropacemaker (brain) (peripheral nerve) (spinal cord),144
ICD-10-D-Z79891,ICD-10-D,Long term (current) use of opiate analgesic,155
ICD-9-D-73730,ICD-9-D,Scoliosis [and kyphoscoliosis]  idiopathic,155
ICD-10-D-M1990,ICD-10-D,Unspecified osteoarthritis  unspecified site,157
ICD-9-D-78830,ICD-9-D,Urinary incontinence  unspecified,157
ICD-9-D-32723,ICD-9-D,Obstructive sleep apnea (adult)(pediatric),158
ICD-9-D-72885,ICD-9-D,Spasm of muscle,160
ICD-9-D-72273,ICD-9-D,Intervertebral disc disorder with myelopathy  lumbar region,162
ICD-10-D-N3941,ICD-10-D,Urge incontinence,163
ICD-9-D-V5309,ICD-9-D,Fitting and adjustment of other devices related to nervous system and special senses,163
ICD-10-D-G9059,ICD-10-D,Complex regional pain syndrome I of other specified site,165
ICD-9-D-71945,ICD-9-D,Pain in joint  pelvic region and thigh,167
ICD-10-D-M1711,ICD-10-D,Unilateral primary osteoarthritis  right knee,168
ICD-10-D-E669,ICD-10-D,Obesity  unspecified,171
ICD-10-D-Z7982,ICD-10-D,Long term (current) use of aspirin,171
ICD-10-D-M5136,ICD-10-D,Other intervertebral disc degeneration  lumbar region,176
ICD-9-D-72280,ICD-9-D,Postlaminectomy syndrome  unspecified region,176
ICD-10-D-G500,ICD-10-D,Trigeminal neuralgia,178
ICD-10-D-I2510,ICD-10-D,Atherosclerotic heart disease of native coronary artery without angina pectoris,180
ICD-9-D-33720,ICD-9-D,Reflex sympathetic dystrophy  unspecified,180
ICD-10-D-G9050,ICD-10-D,Complex regional pain syndrome I  unspecified,186
ICD-10-D-M47817,ICD-10-D,Spondylosis without myelopathy or radiculopathy  lumbosacral region,189
ICD-9-D-33722,ICD-9-D,Reflex sympathetic dystrophy of the lower limb,189
ICD-10-D-J449,ICD-10-D,Chronic obstructive pulmonary disease  unspecified,194
ICD-10-D-J45909,ICD-10-D,Unspecified asthma  uncomplicated,198
ICD-10-D-E039,ICD-10-D,Hypothyroidism  unspecified,201
ICD-9-D-78843,ICD-9-D,Nocturia,209
ICD-10-D-G4733,ICD-10-D,Obstructive sleep apnea (adult) (pediatric),210
ICD-9-D-33729,ICD-9-D,Reflex sympathetic dystrophy of other specified site,215
ICD-10-D-R51,ICD-10-D,Headache,221
ICD-9-D-30000,ICD-9-D,Anxiety state  unspecified,224
ICD-10-D-G629,ICD-10-D,Polyneuropathy  unspecified,237
ICD-9-D-71941,ICD-9-D,Pain in joint  shoulder region,243
ICD-9-D-49390,ICD-9-D,Asthma  unspecified type  unspecified,247
ICD-9-D-311,ICD-9-D,Depressive disorder  not elsewhere classified,256
ICD-9-D-3539,ICD-9-D,Unspecified nerve root and plexus disorder,257
ICD-10-D-Z87891,ICD-10-D,Personal history of nicotine dependence,258
ICD-9-D-3501,ICD-9-D,Trigeminal neuralgia,261
ICD-9-D-2449,ICD-9-D,Unspecified acquired hypothyroidism,264
ICD-10-D-F419,ICD-10-D,Anxiety disorder  unspecified,265
ICD-9-D-78833,ICD-9-D,Mixed incontinence (male) (female),267
ICD-9-P-0492,ICD-9-P,Implantation or replacement of peripheral neurostimulator lead(s),268
ICD-10-D-M25562,ICD-10-D,Pain in left knee,277
ICD-9-D-33828,ICD-9-D,Other chronic postoperative pain,287
ICD-10-D-M461,ICD-10-D,Sacroiliitis  not elsewhere classified,289
ICD-9-D-34690,ICD-9-D,Migraine  unspecified  without mention of intractable migraine without mention of status migrainosus,290
ICD-9-D-71946,ICD-9-D,Pain in joint  lower leg,305
ICD-10-D-F329,ICD-10-D,Major depressive disorder  single episode  unspecified,308
ICD-9-D-3051,ICD-9-D,Tobacco use disorder,311
ICD-9-D-V454,ICD-9-D,Arthrodesis status,311
ICD-9-D-3558,ICD-9-D,Mononeuritis of lower limb  unspecified,313
ICD-9-D-2724,ICD-9-D,Other and unspecified hyperlipidemia,316
ICD-9-D-7248,ICD-9-D,Other symptoms referable to back,316
ICD-10-D-M25561,ICD-10-D,Pain in right knee,320
ICD-9-D-7241,ICD-9-D,Pain in thoracic spine,321
ICD-9-D-3502,ICD-9-D,Atypical face pain,324
ICD-9-D-7202,ICD-9-D,Sacroiliitis  not elsewhere classified,336
ICD-10-D-E119,ICD-10-D,Type 2 diabetes mellitus without complications,338
ICD-9-D-78863,ICD-9-D,Urgency of urination,340
ICD-9-D-3559,ICD-9-D,Mononeuritis of unspecified site,341
ICD-10-D-G588,ICD-10-D,Other specified mononeuropathies,359
ICD-10-D-E785,ICD-10-D,Hyperlipidemia  unspecified,388
ICD-10-D-M47816,ICD-10-D,Spondylosis without myelopathy or radiculopathy  lumbar region,391
ICD-9-D-9962,ICD-9-D,Mechanical complication of nervous system device  implant  and graft,394
